"","ID","date","postcode","property_type","whether_old_or_new","freehold_or_leasehold","address1","address2","address3","town","local_aut","county","postcode_short","current_energy_rating","total_floor_area","number_habitable_rooms","co2_emissions_current","co2_emissions_potential","energy_consumption_current","energy_consumption_potential","windows_energy_eff","tenure","latitude","longitude","population","altitude","london_zone","nearest_station","water_company","average_income","district","type_of_closest_station","num_tube_lines","num_rail_lines","num_light_rail_lines","distance_to_station","asking_price","predict","profitMargin","buy","profit","actualProfit"
"11",10024,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE16","C",58,3,1.6,1.3,147,116,"Good","rental (private)",51.49129,-0.046966,58,8,2,"surrey quays","Thames Water",51800,"Southwark","light_rail",0,0,1,0.298272,140000,370001.926786326,1.64287090561662,1,1.64287090561662,1.64287090561662
"12",656,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"W6","E",114,6,5.7,2.9,283,143,"Very Poor","rental (private)",51.484156,-0.221455,91,6,2,"barons court","Thames Water",59500,"Hammersmith and Fulham","tube",2,0,0,0.8519394,503000,1244828.86746491,1.47480888163999,1,1.47480888163999,1.47480888163999
"13",3128,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"CR4","C",75,3,2,1.9,157,145,"Good","owner-occupied",51.408376,-0.164901,129,22,3,"mitcham eastfields","Thames Water",45700,"Merton","rail",0,1,0,0.5729308,117000,289119.732611385,1.47110882573833,1,1.47110882573833,1.47110882573833
"14",10952,NA,NA,"T","N","L",NA,NA,NA,NA,NA,NA,"SW11","E",150,7,7.9,3.5,297,132,"Poor","owner-occupied",51.460972,-0.165845,187,15,2,"clapham junction","Thames Water",73000,"Wandsworth","light_rail",0,1,1,0.4126096,585000,1393269.11529215,1.38165660733701,1,1.38165660733701,1.38165660733701
"15",200,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"W10","E",192,6,9.4,2.9,278,84,"Very Poor","rental (private)",51.520688,-0.21284,99,25,2,"ladbroke grove","Thames Water",47300,"Kensington and Chelsea","tube",2,0,0,0.2690662,1230000,2914760.24223002,1.36972377417075,1,1.36972377417075,1.36972377417075
"16",12485,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"CR4","E",69,3,3.2,2.3,276,200,"Good","owner-occupied",51.411283,-0.16215,80,22,3,"mitcham eastfields","Thames Water",47600,"Merton","rail",0,1,0,0.521976,123000,290942.013685766,1.36538222508753,1,1.36538222508753,1.36538222508753
"17",3193,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W1G","C",43,2,1.9,1.2,252,165,"Average","rental (private)",51.520895,-0.151356,18,31,1,"baker street","Thames Water",73500,"Westminster","tube",6,0,0,0.5350254,325000,766608.040850751,1.35879397184846,1,1.35879397184846,1.35879397184846
"18",15439,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"BR6","D",141,6,5.8,3.4,211,123,"Average","owner-occupied",51.374385,0.066249,14,94,6,"orpington","Thames Water",66900,"Bromley","rail",0,1,0,1.2316148,325000,757448.697834356,1.33061137795187,1,1.33061137795187,1.33061137795187
"19",11374,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"UB2","D",146,5,6.1,2.9,236,110,"Average","owner-occupied",51.503133,-0.383184,28,33,4,"southall","Affinity Water",45400,"Ealing","rail",0,1,0,0.4281446,309000,713153.770217999,1.30794100394175,1,1.30794100394175,1.30794100394175
"20",12412,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"CR2","E",103.26,5,6.2,3.9,361,225,"Average","owner-occupied",51.347541,-0.060522,67,155,3,"coombe lane","SES Water",62800,"Croydon","light_rail",0,0,1,1.5988622,228000,515421.542508924,1.26062080047774,1,1.26062080047774,1.26062080047774
"21",8567,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"N22","C",47,2,1.2,1.1,150,129,"Average","rental (private)",51.603155,-0.117822,94,40,3,"alexandra palace","Thames Water",51000,"Haringey","rail",0,1,0,0.4020458,137000,299417.721829431,1.18553081627322,1,1.18553081627322,1.18553081627322
"22",8866,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"E3","D",58,2,2.8,1.2,253,110,"Average","owner-occupied",51.536359,-0.032838,23,17,2,"hackney wick","Thames Water",46200,"Tower Hamlets","light_rail",0,0,1,0.9140794,152000,328687.21758074,1.16241590513645,1,1.16241590513645,1.16241590513645
"23",4848,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"TW5","D",126,5,4.6,2.4,208,106,"Average","rental (private)",51.486295,-0.388676,98,32,5,"hounslow west","Thames Water",51500,"Hounslow","tube",1,0,0,1.2011662,261000,559405.454209385,1.14331591651105,1,1.14331591651105,1.14331591651105
"24",10123,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE26","E",49,2,4.3,2.6,519,309,"Average","owner-occupied",51.424712,-0.041808,37,33,4,"lower sydenham","Thames Water",52600,"Lewisham","rail",0,1,0,0.758108,1e+05,214029.855923719,1.14029855923719,1,1.14029855923719,1.14029855923719
"25",1003,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW3","D",125,3,6.2,5,279,229,"Very Poor","owner-occupied",51.553672,-0.186478,73,76,2,"finchley road and frognal","Thames Water",67300,"Camden","light_rail",0,0,1,0.285844,601000,1280742.54869116,1.13101921579228,1,1.13101921579228,1.13101921579228
"26",5725,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"UB3","D",173,9,8.3,4.9,248,147,"Average","owner-occupied",51.520674,-0.417919,54,42,5,"hayes and harlington","Affinity Water",44600,"Hillingdon","rail",0,1,0,1.239693,348000,732978.471614743,1.10625997590443,1,1.10625997590443,1.10625997590443
"27",10237,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"BR5","C",54,3,3.1,2.3,339,254,"Good","owner-occupied",51.397416,0.117601,83,46,6,"st mary cray","Thames Water",43200,"Bromley","rail",0,1,0,0.6692478,98000,205539.394694173,1.09734076218544,1,1.09734076218544,1.09734076218544
"28",4085,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"N21","C",36,2,1.6,0.9,251,143,"Very Poor","owner-occupied",51.645786,-0.116577,23,66,5,"oakwood","Thames Water",61700,"Enfield","tube",1,0,0,1.031524,128000,268110.834633239,1.09461589557218,1,1.09461589557218,1.09461589557218
"29",10305,NA,NA,"S","N","F",NA,NA,NA,"CATFORD",NA,NA,"SE6","E",134,6,7.7,3.4,327,142,"Average","owner-occupied",51.446449,-0.01201,104,22,3,"catford bridge","Thames Water",48700,"Lewisham","rail",0,1,0,0.6636552,312000,642638.18297513,1.05973776594593,1,1.05973776594593,1.05973776594593
"30",13865,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"CR0","C",46,2,1.4,1.3,177,161,"Average","owner-occupied",51.370855,-0.100871,25,53,3,"george street","Thames Water",51400,"Croydon","light_rail",0,0,1,0.3865108,117000,238285.831407873,1.03663103767413,1,1.03663103767413,1.03663103767413
"31",14673,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"N11","D",145,5,6.5,3.9,236,139,"Average","owner-occupied",51.618022,-0.149116,53,60,4,"new southgate","Affinity Water",54300,"Barnet","rail",0,1,0,0.397696,382000,777087.704490341,1.03426100651922,1,1.03426100651922,1.03426100651922
"32",11034,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"N17","C",68,4,2.4,2.4,201,201,"Average","rental (social)",51.609117,-0.08225,195,22,3,"white hart lane","Thames Water",37700,"Haringey","light_rail",0,0,1,0.7214454,152000,309078.840797091,1.03341342629665,1,1.03341342629665,1.03341342629665
"33",4554,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW11","D",96,4,2.9,3,181,185,"Average","owner-occupied",51.474491,-0.152944,181,8,2,"queenstown road","Thames Water",54100,"Wandsworth","rail",0,1,0,0.3280992,399000,800294.419432624,1.00575042464317,1,1.00575042464317,1.00575042464317
"34",6147,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW1P","C",148,5,3.6,2,140,79,"Good","owner-occupied",51.494179,-0.128725,59,14,1,"pimlico","Thames Water",53000,"Westminster","tube",1,0,0,0.3939676,1e+06,1972948.28860999,0.972948288609991,1,0.972948288609991,0.972948288609991
"35",8632,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W2","D",39,1,1.7,1.2,252,169,"Very Poor","rental (social)",51.519176,-0.187589,254,29,2,"royal oak","Thames Water",56500,"Westminster","tube",2,0,0,0.1000454,259000,510876.950291254,0.972497877572411,1,0.972497877572411,0.972497877572411
"36",15078,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"NW2","E",202,7,11,5.2,311,144,"Very Poor","owner-occupied",51.545646,-0.225437,99,64,2,"willesden green","Thames Water",54700,"Camden","tube",1,0,0,0.7096388,935000,1834143.54649577,0.961650851867132,1,0.961650851867132,0.961650851867132
"37",13940,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"EN4","C",50,3,1.6,1.5,187,170,"Very Poor","rental (private)",51.656496,-0.160242,42,84,5,"cockfosters","Affinity Water",54900,"Barnet","tube",1,0,0,0.7730216,152000,296992.064597595,0.953895161826281,1,0.953895161826281,0.953895161826281
"38",244,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"HA3","D",119,4,5.4,3.4,260,159,"Average","owner-occupied",51.597905,-0.322487,58,54,5,"harrow and wealdstone","Affinity Water",50600,"Brent","tube",2,1,1,0.8277048,322000,623674.844739283,0.936878399811438,1,0.936878399811438,0.936878399811438
"39",8570,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW1V","D",67.1,3,2.6,2,204,152,"Average","owner-occupied",51.490878,-0.137748,114,13,1,"pimlico","Thames Water",61900,"Westminster","tube",1,0,0,0.2460744,431000,824952.921965857,0.914043902472986,1,0.914043902472986,0.914043902472986
"40",7802,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SE6","D",78,4,4.5,2.8,348,216,"Average","owner-occupied",51.445391,-0.011653,60,21,3,"catford bridge","Thames Water",48700,"Lewisham","rail",0,1,0,0.7369804,231000,434765.437098114,0.882101459299194,1,0.882101459299194,0.882101459299194
"41",10704,NA,NA,"F","N","F",NA,NA,NA,"EDMONTON",NA,NA,"N9","D",92,5,4.2,1.1,261,68,"Average","owner-occupied",51.631586,-0.079309,51,25,4,"edmonton green","Thames Water",56700,"Enfield","light_rail",0,1,1,0.857532,264000,493886.598563586,0.870782570316615,1,0.870782570316615,0.870782570316615
"42",10578,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"W5","F",203,9,13,4.9,375,136,"Average","owner-occupied",51.514333,-0.312551,69,34,3,"west ealing","Thames Water",64800,"Ealing","rail",0,1,0,0.3889964,773000,1438432.68009148,0.860844346819506,1,0.860844346819506,0.860844346819506
"43",15804,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"IG3","E",99,4,6,1.3,317,65,"Average","owner-occupied",51.55179,0.0929,68,8,4,"seven kings","Essex & Suffolk Water",50400,"Redbridge","rail",0,1,0,1.1645036,231000,425294.890076048,0.841103420242631,1,0.841103420242631,0.841103420242631
"44",11078,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW1X","D",156,4,6,2.9,220,107,"Very Poor","owner-occupied",51.499532,-0.161171,27,19,1,"knightsbridge","Thames Water",72600,"Kensington and Chelsea","tube",1,0,0,0.3299634,1740000,3166209.39884759,0.81966057405034,1,0.81966057405034,0.81966057405034
"45",15829,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SM1","D",52,2,2.8,2,305,221,"Poor","owner-occupied",51.364478,-0.201617,58,47,5,"west sutton","SES Water",55200,"Sutton","rail",0,1,0,0.382161,117000,212807.385733475,0.818866544730558,1,0.818866544730558,0.818866544730558
"46",1688,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"HA4","D",102,6,4,1.7,220,90,"Average","owner-occupied",51.553844,-0.405085,101,34,5,"south ruislip","Affinity Water",56600,"Hillingdon","tube",1,1,0,0.4244162,280000,508751.842632373,0.816970866544189,1,0.816970866544189,0.816970866544189
"47",8729,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SW14","C",208,8,4.5,2.7,122,72,"Poor","owner-occupied",51.466863,-0.261604,109,10,3,"mortlake","Thames Water",68200,"Richmond upon Thames","rail",0,1,0,0.363519,1005000,1806134.24856688,0.797148506036694,1,0.797148506036694,0.797148506036694
"48",6990,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE20","E",44,2,4.6,2.5,599,324,"Average","owner-occupied",51.411126,-0.05382,50,47,3,"avenue road","Thames Water",55700,"Bromley","light_rail",0,0,1,0.304486,140000,251445.554699242,0.79603967642316,1,0.79603967642316,0.79603967642316
"49",9090,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW2","D",64,3,3.5,1.1,309,102,"Average","owner-occupied",51.453998,-0.114565,53,26,2,"herne hill","Thames Water",61900,"Lambeth","rail",0,1,0,0.8556678,267000,478084.726446384,0.790579499799191,1,0.790579499799191,0.790579499799191
"50",3688,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW1P","D",194,5,6.6,2.8,193,83,"Very Poor","owner-occupied",51.496062,-0.140835,97,17,1,"victoria","Thames Water",57500,"Westminster","tube",3,1,0,0.201955,1861000,3300009.36949878,0.773245228102515,1,0.773245228102515,0.773245228102515
"51",2517,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"TW3","E",168,5,8.4,3.4,284,114,"Average","owner-occupied",51.462179,-0.364809,72,22,5,"hounslow","Thames Water",57400,"Hounslow","rail",0,1,0,0.226811,517000,912305.676842038,0.764614461976862,1,0.764614461976862,0.764614461976862
"52",5473,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"SE24","D",99,4,4.9,2.1,279,121,"Average","owner-occupied",51.456304,-0.104236,52,23,2,"herne hill","Thames Water",54000,"Lambeth","rail",0,1,0,0.276523,493000,869419.512739935,0.763528423407576,1,0.763528423407576,0.763528423407576
"53",7092,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"TW9","C",114,7,2.8,1.5,140,74,"Good","owner-occupied",51.467854,-0.281247,76,7,3,"north sheen","Thames Water",61900,"Richmond upon Thames","rail",0,1,0,0.2435888,565000,987769.792234961,0.748265118999931,1,0.748265118999931,0.748265118999931
"54",6453,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"N9","D",79,4,4.2,1.9,274,122,"Average","owner-occupied",51.624419,-0.051342,116,14,4,"edmonton green","Thames Water",38100,"Enfield","light_rail",0,1,1,0.6344494,217000,377583.655793429,0.740016846974329,1,0.740016846974329,0.740016846974329
"55",11681,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW8","C",65,3,1.6,1.3,143,110,"Average","owner-occupied",51.528326,-0.175736,42,43,2,"warwick avenue","Thames Water",53500,"Westminster","tube",2,0,0,0.5194904,389000,675341.305884882,0.736095902017691,1,0.736095902017691,0.736095902017691
"56",13283,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"E12","D",100,5,4.4,2,247,112,"Average","owner-occupied",51.552731,0.059031,272,10,3,"manor park","Thames Water",40800,"Redbridge","rail",0,1,0,0.8879806,259000,447305.225706034,0.727047203498201,1,0.727047203498201,0.727047203498201
"57",5538,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"KT3","C",47,2,2.6,1.8,322,228,"Good","owner-occupied",51.400425,-0.261513,27,23,4,"new malden","Thames Water",61000,"Kingston upon Thames","rail",0,1,0,0.5008484,166000,283592.726195511,0.708389916840426,1,0.708389916840426,0.708389916840426
"58",11397,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE1","B",46,2,1.4,1.3,169,159,"Good","rental (private)",51.50217,-0.098875,34,9,1,"borough","Thames Water",56600,"Southwark","tube",1,0,0,0.360412,259000,440783.754611686,0.701867778423498,1,0.701867778423498,0.701867778423498
"59",13133,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW17","G",97,5,15,2.2,867,127,"Average","rental (private)",51.435417,-0.165412,62,29,3,"tooting bec","Thames Water",60700,"Wandsworth","tube",1,0,0,0.3436342,390000,656486.789428214,0.683299460072344,1,0.683299460072344,0.683299460072344
"60",15656,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"E8","C",105,5,2.6,1,132,48,"Good","owner-occupied",51.545155,-0.070822,44,19,2,"dalston junction","Thames Water",56000,"Hackney","light_rail",0,0,1,0.3399058,580000,975913.981122751,0.682610312280605,1,0.682610312280605,0.682610312280605
"61",13103,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"IG6","D",214,8,9.1,4.8,242,127,"Good","owner-occupied",51.58205,0.079264,140,26,4,"barkingside","Essex & Suffolk Water",55100,"Redbridge","tube",1,0,0,0.8997872,628000,1056125.16940728,0.681727976763186,1,0.681727976763186,0.681727976763186
"62",10603,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"N13","C",115,5,2.7,1.5,133,71,"Average","owner-occupied",51.614762,-0.118786,86,30,3,"bowes park","Thames Water",52200,"Enfield","rail",0,1,0,0.6549556,416000,699170.05411691,0.680697245473342,1,0.680697245473342,0.680697245473342
"63",9885,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"NW4","D",111,4,3.9,1.8,199,89,"Average","owner-occupied",51.595634,-0.214317,94,59,3,"hendon central","Thames Water",58700,"Barnet","tube",1,0,0,1.4503476,494000,827891.419708839,0.675893562163642,1,0.675893562163642,0.675893562163642
"64",7795,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW6","D",86,5,3.9,1.7,253,115,"Good","owner-occupied",51.544919,-0.202632,104,48,2,"brondesbury","Thames Water",51900,"Brent","light_rail",0,0,1,0.2150044,377000,631558.486188262,0.67522144877523,1,0.67522144877523,0.67522144877523
"65",13339,NA,NA,"F","N","L",NA,NA,NA,"WALTHAMSTOW",NA,NA,"E17","D",66,3,2.6,1.5,221,128,"Good","owner-occupied",51.573422,-0.029392,115,10,3,"lea bridge","Thames Water",54700,"Waltham Forest","rail",0,1,0,0.7692932,228000,379817.376580633,0.66586568675716,1,0.66586568675716,0.66586568675716
"66",15945,NA,NA,"T","N","L",NA,NA,NA,NA,NA,NA,"W14","D",225,5,7.7,4,193,100,"Good","owner-occupied",51.504138,-0.209049,104,12,2,"holland park","Thames Water",60100,"Kensington and Chelsea","tube",1,0,0,0.4840706,1949000,3231156.67370581,0.657853603748491,1,0.657853603748491,0.657853603748491
"67",11529,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SE2","D",90.85,5,3.9,2.5,223,141,"Good","owner-occupied",51.494333,0.115564,52,2,4,"abbey wood","Thames Water",41900,"Greenwich","rail",0,1,0,0.7469228,204000,338100.820486006,0.657356963166696,1,0.657356963166696,0.657356963166696
"68",14168,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW2","D",97,4,4.6,4.4,267,257,"Average","owner-occupied",51.54739,-0.216048,64,62,2,"willesden green","Thames Water",50600,"Camden","tube",1,0,0,0.5617456,484000,798624.935068959,0.650051518737518,1,0.650051518737518,0.650051518737518
"69",293,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW5","D",97,3,5.1,2.1,301,122,"Average","owner-occupied",51.554527,-0.14098,238,45,2,"kentish town","Thames Water",57000,"Camden","tube",1,1,0,0.2448316,547000,901289.15113079,0.647694974644954,1,0.647694974644954,0.647694974644954
"70",9661,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW1","C",54,2,1.6,1,172,104,"Very Poor","owner-occupied",51.543129,-0.155661,47,39,2,"chalk farm","Thames Water",54500,"Camden","tube",1,0,0,0.2373748,302000,493435.9828728,0.633893983022516,1,0.633893983022516,0.633893983022516
"71",1027,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"N17","E",100.07,5,6.2,5.1,373,302,"Very Poor","rental (private)",51.595551,-0.073036,136,20,3,"bruce grove","Thames Water",42600,"Haringey","light_rail",0,0,1,0.2156258,343000,560037.364496369,0.632761995616238,1,0.632761995616238,0.632761995616238
"72",10415,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"TW2","C",47,3,1.7,1.4,205,175,"Average","rental (social)",51.443994,-0.35435,114,19,5,"whitton","Thames Water",61900,"Richmond upon Thames","rail",0,1,0,1.0352524,193000,314784.279647751,0.631006630299226,1,0.631006630299226,0.631006630299226
"73",2129,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SE6","D",139,6,6.2,3.8,252,152,"Average","owner-occupied",51.434284,-0.023818,60,22,3,"bellingham","Thames Water",45100,"Lewisham","rail",0,1,0,0.2106546,373000,603466.408695196,0.617872409370497,1,0.617872409370497,0.617872409370497
"74",4827,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"KT9","D",83,4,3,1.2,206,80,"Very Poor","rental (private)",51.358712,-0.297213,129,46,6,"chessington south","Thames Water",59700,"Kingston upon Thames","rail",0,1,0,0.581009,293000,472378.4303404,0.612213072834131,1,0.612213072834131,0.612213072834131
"75",1734,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"N11","D",55,2,2.6,1.5,271,155,"Average","owner-occupied",51.610373,-0.124961,89,42,3,"bounds green","Thames Water",50800,"Barnet","tube",1,0,0,0.2063048,206000,331512.655447279,0.609284735180964,1,0.609284735180964,0.609284735180964
"76",15697,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"EN3","E",82,5,6.2,1.3,392,79,"Poor","rental (private)",51.661039,-0.039213,82,18,5,"brimsdown","Thames Water",44300,"Enfield","rail",0,1,0,0.608972,246000,394519.849171931,0.603739224276141,1,0.603739224276141,0.603739224276141
"77",9334,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"N1","D",70,4,2.3,1.3,184,108,"Good","rental (private)",51.531158,-0.080972,50,23,1,"hoxton","Thames Water",54300,"Islington","light_rail",0,0,1,0.329342,378000,598980.535162978,0.584604590378248,1,0.584604590378248,0.584604590378248
"78",8846,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"NW4","D",247,8,8.8,5.6,203,128,"Average","owner-occupied",51.585573,-0.213532,31,52,3,"brent cross","Thames Water",54400,"Barnet","tube",1,0,0,0.9091082,1093000,1729954.7177857,0.582758204744468,1,0.582758204744468,0.582758204744468
"79",12206,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SW2","D",193.65,8,9.5,9,292,276,"Very Poor","owner-occupied",51.457304,-0.121064,65,27,2,"brixton","Thames Water",61900,"Lambeth","tube",1,1,0,0.6064864,897000,1417918.3375355,0.580733932592527,1,0.580733932592527,0.580733932592527
"80",2133,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW14","C",75,3,2.3,1.5,172,116,"Average","owner-occupied",51.462636,-0.274936,44,20,3,"north sheen","Thames Water",68200,"Richmond upon Thames","rail",0,1,0,0.9314786,352000,554224.563852578,0.574501601853916,1,0.574501601853916,0.574501601853916
"81",1615,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW5","C",108,5,2.9,2,151,107,"Average","owner-occupied",51.494928,-0.186736,127,17,1,"gloucester road","Thames Water",56600,"Kensington and Chelsea","tube",3,0,0,0.2162472,1106000,1740573.27700552,0.573755223332294,1,0.573755223332294,0.573755223332294
"82",14259,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"CR4","C",149.04,5,4.8,3.4,194,136,"Good","owner-occupied",51.411954,-0.172232,71,17,3,"colliers wood","Thames Water",52500,"Merton","tube",1,0,0,0.7786142,585000,914962.272530576,0.564038072701838,1,0.564038072701838,0.564038072701838
"83",346,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"E2","C",100,4,2.8,2.8,158,157,"Good","owner-occupied",51.528751,-0.057646,176,19,2,"bethnal green","Thames Water",55100,"Hackney","tube",1,0,1,0.3212638,477000,744409.348089119,0.560606599767545,1,0.560606599767545,0.560606599767545
